BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
5517,0,1.67945205479452,A,92,9_2,0.87,1,1.1,105,5267,4829,1.84657534246575,3.50684931506849,5267,2960
5517,0,4.25479452054795,A,92,9_23,0.36,1,1.1,124,5267,4829,1.84657534246575,3.50684931506849,5267,2960
5517,0,0.657534246575342,SA,92,9_24,0.52,1,1.1,104,5267,4829,1.84657534246575,3.50684931506849,5267,2960
5451,0,0.246575342465753,J,92,8_4,0.84,1,101,92,NA,NA,NA,NA,5324,1869
5452,0,0.164383561643836,FL,92,8_6,0.97,1,101,92,3695,1869,3.64109589041096,5.81095890410959,5324,1869
5448,0,0.164383561643836,FL,92,8_19,0.53,1,11,92,1753,4860,7.26849315068493,2.96712328767123,1753,3612
5457,0,0.246575342465753,J,92,8_10,0.74,1,120,92,4883,3458,2.74794520547945,4.21369863013699,4883,5254
5457,0,2.55890410958904,A,92,8_35,0.59,1,57.1,110,4883,3458,2.74794520547945,4.21369863013699,4883,5254
5338,1,0.328767123287671,OFL,92,8_7,0.78,1,121,92,1798,2974,5.68219178082192,5.13150684931507,1798,2974
5338,1,2.32602739726027,A,92,8_28,0.47,1,101.1,105,1798,2974,5.68219178082192,5.13150684931507,1798,2974
5338,1,0.843835616438356,SA,92,8_40,0.79,1,121,103,1798,2974,5.68219178082192,5.13150684931507,1798,2974
5338,1,4.25205479452055,A,92,8_36,1.27,1,101.1,122,1798,2974,5.68219178082192,5.13150684931507,1798,2974
5530,0,4.23013698630137,A,92,9_7,0.77,1,55,124,3594,5197,4.21917808219178,1.49041095890411,3594,5197
5530,0,2.2027397260274,A,92,9_16,0.52,1,55,112,3594,5197,4.21917808219178,1.49041095890411,3594,5197
5530,0,0.657534246575342,SA,92,9_25,0.67,1,123,104,3594,5197,4.21917808219178,1.49041095890411,3594,5197
5518,0,0.657534246575342,SA,92,9_25,0.38,1,127,104,3590,1750,4.16438356164384,7.22465753424658,3590,4854
5518,0,2.64657534246575,A,92,9_5,1.17,1,92,116,3590,1750,4.16438356164384,7.22465753424658,3590,4854
5518,0,2.89041095890411,A,92,9_12,0.71,1,92,116,3590,1750,4.16438356164384,7.22465753424658,3590,4854
5460,1,0.0273972602739726,CH,92,8_5,2.14,1,129,92,4871,4860,3.25753424657534,3.22465753424658,4871,4860
5418,1,0.0273972602739726,CH,92,8_5,2.37,1,129,92,4871,4860,3.25753424657534,3.22465753424658,4871,4860
5337,0,3.14246575342466,A,92,8_31,0.51,1,47.1,116,4936,1710,2.60547945205479,6.93150684931507,1707,1710
5337,0,0.246575342465753,J,92,8_13,0.85,1,131,92,4936,1710,2.60547945205479,6.93150684931507,1707,1710
5519,1,0.657534246575342,SA,92,9_17,0.83,1,5,104,5147,5159,2.13698630136986,2.02191780821918,5147,5159
5453,1,1.01369863013699,SA,92,8_34,0.5,1,-2,104,1763,1729,7.11232876712329,7.87945205479452,1763,4829
5343,1,1.01095890410959,SA,92,8_34,1.1,1,-2,104,3086,1729,4.73698630136986,7.88219178082192,1763,4829
5453,1,3.98904109589041,A,92,8_39,1.33,1,22,122,1763,1729,7.11232876712329,7.87945205479452,1763,4829
5453,1,4.91232876712329,A,92,8_36,0.81,1,22,125,1763,1729,7.11232876712329,7.87945205479452,1763,4829
5453,1,0.0383561643835616,CH,92,8_12,1.37,1,2,92,1763,1729,7.11232876712329,7.87945205479452,1763,4829
5343,1,0.0356164383561644,CH,92,8_24,1.09,1,2,92,3086,1729,4.73698630136986,7.88219178082192,1763,4829
5453,1,5.1041095890411,A,92,8_32,0.42,1,22,125,1763,1729,7.11232876712329,7.87945205479452,1763,4829
5450,0,0.164383561643836,FL,92,8_8,0.41,1,21,92,3490,3615,4.15616438356164,3.65479452054795,3490,3087
5450,0,2.0958904109589,A,92,8_27,0.37,1,35,105,3490,3615,4.15616438356164,3.65479452054795,3490,3087
5450,0,3.03287671232877,A,92,8_36,0.94,1,35,116,3490,3615,4.15616438356164,3.65479452054795,3490,3087
5450,0,5.11780821917808,A,92,8_36,0.81,1,35,125,3490,3615,4.15616438356164,3.65479452054795,3490,3087
5510,1,1.64109589041096,A,92,9_15,0.66,1,25,105,3490,3087,4.60547945205479,5.15068493150685,3490,3087
5450,0,1.14520547945205,A,92,8_29,0.92,1,35,104,3490,3615,4.15616438356164,3.65479452054795,3490,3087
5333,1,5.34520547945205,A,92,8_36,0.74,1,111,125,1857,3618,5.69315068493151,4.44109589041096,1501,3618
5333,1,1.29315068493151,SA,92,8_30,0.58,1,111,104,1857,3618,5.69315068493151,4.44109589041096,1501,3618
5333,1,2.72602739726027,A,92,8_35,0.84,1,111,112,1857,3618,5.69315068493151,4.44109589041096,1501,3618
5333,1,0.164383561643836,FL,92,8_28,0.31,1,22,92,1857,3618,5.69315068493151,4.44109589041096,1501,3618
5525,0,3.6958904109589,A,92,9_17,0.61,1,33,122,5163,5072,2.44109589041096,2.52602739726027,5163,5072
5525,0,0.657534246575342,SA,92,9_15,0.82,1,33,104,5163,5072,2.44109589041096,2.52602739726027,5163,5072
5525,0,3.85205479452055,A,92,9_2,0.71,1,33,122,5163,5072,2.44109589041096,2.52602739726027,5163,5072
5525,0,1.62739726027397,A,92,9_1,1.11,1,33,105,5163,5072,2.44109589041096,2.52602739726027,5163,5072
5525,0,2.56164383561644,A,92,9_26,0.78,1,33,116,5163,5072,2.44109589041096,2.52602739726027,5163,5072
5526,1,1,A,92,9_19,0.66,1,25,104,4941,3615,2.70684931506849,3.78082191780822,4941,3615
5526,1,2.41643835616438,A,92,9_9,0.97,1,32,110,4941,3615,2.70684931506849,3.78082191780822,4941,3615
5516,0,2.06849315068493,A,92,9_15,0.94,1,78,110,1864,1542,6.24657534246575,10.0931506849315,1864,1542
5516,0,0.657534246575342,SA,92,9_23,1.09,1,26,104,1864,1542,6.24657534246575,10.0931506849315,1864,1542
5454,0,0.0301369863013699,CH,92,8_38,1.1,1,29,92,3462,3093,4.26301369863014,4.72054794520548,3462,3093
5462,1,1.03013698630137,SA,92,9_31,0.32,1,3,104,1532,911,9.95616438356164,15.2082191780822,1532,911
5462,1,0.0383561643835616,CH,92,8_13,1.28,1,3,92,1532,911,9.95616438356164,15.2082191780822,1532,911
5520,1,0.657534246575342,SA,92,9_12,1.05,1,3.1,104,NA,NA,NA,NA,5155,1187
5514,0,0.657534246575342,SA,92,9_12,0.63,1,30.2,104,5320,1029,1.34246575342466,13.3534246575342,1854,1029
5514,0,1.7972602739726,A,92,9_3,0.97,1,41,105,5320,1029,1.34246575342466,13.3534246575342,1854,1029
5312,0,0.164383561643836,FL,92,3_85,0.78,2,30.2,92,1854,1029,5.62739726027397,12.7945205479452,1854,1029
5514,0,3.75342465753425,A,92,9_2,0.69,1,41,122,5320,1029,1.34246575342466,13.3534246575342,1854,1029
5317,1,1.2027397260274,SA,92,8_37,0.59,1,32,104,4973,1868,2.36986301369863,5.67123287671233,1384,1868
5513,1,2.56986301369863,A,92,9_21,0.95,1,33,116,4973,2990,2.91506849315068,5.61369863013699,1384,1868
5513,1,1.63561643835616,A,92,9_21,0.66,1,33,105,4973,2990,2.91506849315068,5.61369863013699,1384,1868
5513,1,0.657534246575342,SA,92,9_15,1.12,1,32.5,104,4973,2990,2.91506849315068,5.61369863013699,1384,1868
5317,1,0.164383561643836,FL,92,8_10,0.74,1,32.5,92,4973,1868,2.36986301369863,5.67123287671233,1384,1868
5513,1,1.82739726027397,A,92,9_14,0.71,1,33,105,4973,2990,2.91506849315068,5.61369863013699,1384,1868
5513,1,3.86027397260274,A,92,9_13,0.84,1,33,122,4973,2990,2.91506849315068,5.61369863013699,1384,1868
5515,1,1.8,A,92,9_24,0.5,1,38.1,105,2985,1897,5.96986301369863,6.10958904109589,1765,1752
5515,1,2.08493150684932,A,92,9_20,0.56,1,38.1,110,2985,1897,5.96986301369863,6.10958904109589,1765,1752
5455,0,0.164383561643836,FL,92,8_20,0.58,1,33,92,1765,1752,6.98356164383562,6.79452054794521,1765,1752
5515,1,0.657534246575342,SA,92,9_19,0.46,1,38,104,2985,1897,5.96986301369863,6.10958904109589,1765,1752
5508,1,2.63287671232877,A,92,9_14,0.59,1,47.1,116,4896,2990,3.2027397260274,5.61917808219178,4896,2990
5508,1,2.04109589041096,A,92,9_14,1.17,1,47.1,110,4896,2990,3.2027397260274,5.61917808219178,4896,2990
5508,1,2.2027397260274,A,92,9_11,0.69,1,47.1,112,4896,2990,3.2027397260274,5.61917808219178,4896,2990
